route_id,service_id,trip_id,direction_id,shape_id
RC04,FULL,BinniBusRC04.1.020,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.021,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.022,1,BinniBusRC04
RC04,FULL,BinniBusRC04.1.023,1,BinniBusRC04
RC05,FULL,BinniBusRC05.0.001,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.002,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.003,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.004,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.005,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.006,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.007,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.008,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.009,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.010,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.011,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.012,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.013,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.014,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.015,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.016,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.017,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.018,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.019,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.020,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.021,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.022,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.023,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.024,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.025,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.026,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.027,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.028,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.029,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.030,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.031,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.032,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.033,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.034,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.035,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.036,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.037,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.038,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.039,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.040,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.041,0,BinniBusRC05
RC05,FULL,BinniBusRC05.0.042,0,BinniBusRC05
RC05,FULL,BinniBusRC05.1.001,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.002,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.003,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.004,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.005,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.006,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.007,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.008,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.009,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.010,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.011,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.012,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.013,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.014,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.015,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.016,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.017,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.018,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.019,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.020,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.021,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.022,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.023,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.024,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.025,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.026,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.027,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.028,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.029,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.030,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.031,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.032,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.033,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.034,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.035,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.036,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.037,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.038,1,BinniBusRC05
RC05,FULL,BinniBusRC05.1.039,1,BinniBusRC05
